bush_number,pink_count,yellow_count,total_flowers
1,19,4,23
1,13,4,17
1,16,4,20
1,19,5,24
1,13,3,16
1,14,4,18
1,12,2,14
1,15,4,19
1,16,2,18
1,17,4,21
2,9,5,14
2,5,8,13
2,14,5,19
2,15,5,20
2,15,4,19
2,13,4,17
2,14,3,17
2,15,4,19
2,16,5,21
2,12,3,15
3,11,7,18
3,16,2,18
3,12,5,17
3,5,5,10
3,13,3,16
3,18,3,21
3,15,5,20
3,9,4,13
3,11,4,15
3,15,5,20
4,8,6,14
4,12,4,16
4,13,3,16
4,10,4,14
4,11,4,15
4,12,4,16
4,12,5,17
4,12,5,17
4,12,4,16
4,14,4,18
5,11,5,16
5,21,4,25
5,9,5,14
5,8,5,13
5,10,5,15
5,8,6,14
5,16,5,21
5,15,5,20
5,16,4,20
5,12,5,17
6,12,3,15
6,18,4,22
6,14,5,19
6,10,3,13
6,19,3,22
6,14,5,19
6,14,2,16
6,15,4,19
6,12,2,14
6,13,4,17